fecha,codigosucursal,codigovariable,valor
22/03/2018,9,10,7.00
22/03/2018,9,11,413.00
22/03/2018,9,12,446330.44
22/03/2018,9,13,10.99
22/03/2018,9,14,4419.11
22/03/2018,9,15,596945.32
22/03/2018,9,16,45.00
22/03/2018,9,17,186785.26
22/03/2018,9,18,0.11
22/03/2018,9,19,0.00
22/03/2018,9,20,1.00
22/03/2018,9,21,1.00
22/03/2018,9,22,6.00
22/03/2018,9,23,0.00
22/03/2018,9,24,21.00
22/03/2018,9,25,8.00
22/03/2018,9,26,3.00
22/03/2018,9,27,2.00
22/03/2018,9,28,2.00
22/03/2018,9,29,2.00
22/03/2018,9,30,1.00
22/03/2018,9,31,1.00
22/03/2018,9,32,2.00
22/03/2018,9,33,8.00
22/03/2018,9,34,3.00
22/03/2018,9,35,1.00
22/03/2018,9,36,5.00
22/03/2018,9,37,1.00
22/03/2018,9,38,6.00
22/03/2018,9,39,1.00
22/03/2018,9,40,4.00
22/03/2018,10,1,643864.88
22/03/2018,10,2,132.00
22/03/2018,10,3,4877.76
22/03/2018,10,4,239.00
22/03/2018,10,5,70.43
22/03/2018,10,6,160.97
22/03/2018,10,7,0.33
22/03/2018,10,8,38.00
22/03/2018,10,9,92692.44
22/03/2018,10,10,2.00
22/03/2018,10,11,418.00
22/03/2018,10,12,376303.27
22/03/2018,10,13,8.73
22/03/2018,10,14,4003.23
22/03/2018,10,15,559957.97
22/03/2018,10,16,65.00
22/03/2018,10,17,238459.36
22/03/2018,10,18,0.16
22/03/2018,10,19,0.00
22/03/2018,10,20,3.00
22/03/2018,10,21,1.00
22/03/2018,10,22,3.00
22/03/2018,10,23,2.00
22/03/2018,10,24,13.00
22/03/2018,10,25,6.00
22/03/2018,10,26,2.00
22/03/2018,10,27,3.00
22/03/2018,10,28,7.00
22/03/2018,10,29,1.00
22/03/2018,10,30,1.00
22/03/2018,10,31,3.00
22/03/2018,10,32,0.00
22/03/2018,10,33,9.00
22/03/2018,10,34,2.00
22/03/2018,10,35,0.00
22/03/2018,10,36,5.00
22/03/2018,10,37,14.00
22/03/2018,10,38,2.00
22/03/2018,10,39,1.00
22/03/2018,10,40,2.00
22/03/2018,11,1,1003979.05
22/03/2018,11,2,147.00
22/03/2018,11,3,6829.79
22/03/2018,11,4,246.00
22/03/2018,11,5,73.71
22/03/2018,11,6,250.99
22/03/2018,11,7,0.50
22/03/2018,11,8,50.00
22/03/2018,11,9,194209.19
22/03/2018,11,10,5.00
22/03/2018,11,11,649.00
22/03/2018,11,12,816840.04
22/03/2018,11,13,9.99
22/03/2018,11,14,6095.82
22/03/2018,11,15,953107.39
22/03/2018,11,16,29.00
22/03/2018,11,17,71624.42
22/03/2018,11,18,0.04
22/03/2018,11,19,2.00
22/03/2018,11,20,3.00
22/03/2018,11,21,0.00
22/03/2018,11,22,2.00
22/03/2018,11,23,2.00
22/03/2018,11,24,22.00
22/03/2018,11,25,13.00
22/03/2018,11,26,4.00
22/03/2018,11,27,1.00
22/03/2018,11,28,7.00
22/03/2018,11,29,0.00
22/03/2018,11,30,1.00
22/03/2018,11,31,5.00
22/03/2018,11,32,1.00
22/03/2018,11,33,6.00
22/03/2018,11,34,9.00
22/03/2018,11,35,3.00
22/03/2018,11,36,21.00
22/03/2018,11,37,4.00
22/03/2018,11,38,6.00
22/03/2018,11,39,0.00
22/03/2018,11,40,2.00
22/03/2018,12,1,167812.14
22/03/2018,12,2,48.00
22/03/2018,12,3,3496.09
22/03/2018,12,4,58.00
22/03/2018,12,5,76.46
22/03/2018,12,6,159.82
22/03/2018,12,7,0.49
22/03/2018,12,8,2.00
22/03/2018,12,9,4549.88
22/03/2018,12,10,2.00
22/03/2018,12,11,161.00
22/03/2018,12,12,113193.95
22/03/2018,12,13,10.00
22/03/2018,12,14,4716.41
22/03/2018,12,15,194568.99
22/03/2018,12,16,14.00
22/03/2018,12,17,57495.26
22/03/2018,12,18,0.09
22/03/2018,12,19,0.00
22/03/2018,12,20,0.00
22/03/2018,12,21,0.00
22/03/2018,12,22,2.00
22/03/2018,12,23,0.00
22/03/2018,12,24,5.00
22/03/2018,12,25,2.00
22/03/2018,12,26,1.00
22/03/2018,12,27,0.00
22/03/2018,12,28,1.00
22/03/2018,12,29,0.00
22/03/2018,12,30,0.00
22/03/2018,12,31,0.00
22/03/2018,12,32,0.00
22/03/2018,12,33,0.00
22/03/2018,12,34,1.00
22/03/2018,12,35,1.00
22/03/2018,12,36,1.00
22/03/2018,12,37,1.00
22/03/2018,12,38,0.00
22/03/2018,12,39,0.00
22/03/2018,12,40,2.00
22/03/2018,13,1,720312.82
22/03/2018,13,2,145.00
22/03/2018,13,3,4967.67
22/03/2018,13,4,220.00
22/03/2018,13,5,48.01
22/03/2018,13,6,300.13
22/03/2018,13,7,0.39
22/03/2018,13,8,28.00
22/03/2018,13,9,151813.26
22/03/2018,13,10,1.00
22/03/2018,13,11,296.00
22/03/2018,13,12,327164.53
22/03/2018,13,13,8.56
22/03/2018,13,14,5545.16
22/03/2018,13,15,348460.28
22/03/2018,13,16,51.00
22/03/2018,13,17,219580.45
22/03/2018,13,18,0.17
22/03/2018,13,19,1.00
22/03/2018,13,20,2.00
22/03/2018,13,21,3.00
22/03/2018,13,22,5.00
22/03/2018,13,23,6.00
22/03/2018,13,24,10.00
22/03/2018,13,25,8.00
22/03/2018,13,26,7.00
22/03/2018,13,27,3.00
22/03/2018,13,28,3.00
22/03/2018,13,29,5.00
22/03/2018,13,30,0.00
22/03/2018,13,31,0.00
22/03/2018,13,32,0.00
22/03/2018,13,33,5.00
22/03/2018,13,34,4.00
22/03/2018,13,35,1.00
22/03/2018,13,36,11.00
22/03/2018,13,37,2.00
22/03/2018,13,38,5.00
22/03/2018,13,39,0.00
22/03/2018,13,40,0.00
22/03/2018,15,1,568690.81
22/03/2018,15,2,87.00
22/03/2018,15,3,6536.68
22/03/2018,15,4,128.00
22/03/2018,15,5,75.94
22/03/2018,15,6,59.24
22/03/2018,15,7,0.17
22/03/2018,15,8,16.00
22/03/2018,15,9,83668.21
22/03/2018,15,10,2.00
22/03/2018,15,11,508.00
22/03/2018,15,12,441901.79
22/03/2018,15,13,9.54
22/03/2018,15,14,5665.41
22/03/2018,15,15,641234.04
22/03/2018,15,16,53.00
22/03/2018,15,17,231817.20
22/03/2018,15,18,0.10
22/03/2018,15,19,1.00
22/03/2018,15,20,2.00
22/03/2018,15,21,2.00
22/03/2018,15,22,4.00
22/03/2018,15,23,3.00
22/03/2018,15,24,13.00
22/03/2018,15,25,12.00
22/03/2018,15,26,1.00
22/03/2018,15,27,1.00
22/03/2018,15,28,3.00
22/03/2018,15,29,2.00
22/03/2018,15,30,0.00
22/03/2018,15,31,5.00
22/03/2018,15,32,0.00
22/03/2018,15,33,0.00
22/03/2018,15,34,2.00
22/03/2018,15,35,0.00
22/03/2018,15,36,6.00
22/03/2018,15,37,11.00
22/03/2018,15,38,1.00
22/03/2018,15,39,1.00
22/03/2018,15,40,0.00
