fecha,codigosucursal,codigovariable,valor
07/04/2018,9,4,32.00
07/04/2018,9,5,74.35
07/04/2018,9,6,106.84
07/04/2018,9,7,0.69
07/04/2018,9,8,6.00
07/04/2018,9,9,34798.38
07/04/2018,9,10,2.00
07/04/2018,9,11,411.00
07/04/2018,9,12,166366.03
07/04/2018,9,13,12.52
07/04/2018,9,14,7233.31
07/04/2018,9,15,210593.81
07/04/2018,9,16,27.00
07/04/2018,9,17,149030.24
07/04/2018,9,18,0.07
07/04/2018,9,19,1.00
07/04/2018,9,20,0.00
07/04/2018,9,21,0.00
07/04/2018,9,22,2.00
07/04/2018,9,23,1.00
07/04/2018,9,24,5.00
07/04/2018,9,25,6.00
07/04/2018,9,26,0.00
07/04/2018,9,27,0.00
07/04/2018,9,28,2.00
07/04/2018,9,29,2.00
07/04/2018,9,30,0.00
07/04/2018,9,31,1.00
07/04/2018,9,32,0.00
07/04/2018,9,33,0.00
07/04/2018,9,34,1.00
07/04/2018,9,35,0.00
07/04/2018,9,36,2.00
07/04/2018,9,37,0.00
07/04/2018,9,38,0.00
07/04/2018,9,39,0.00
07/04/2018,9,40,0.00
07/04/2018,10,1,220016.58
07/04/2018,10,2,40.00
07/04/2018,10,3,5500.41
07/04/2018,10,4,55.00
07/04/2018,10,5,61.81
07/04/2018,10,6,55.00
07/04/2018,10,7,0.34
07/04/2018,10,8,5.00
07/04/2018,10,9,19499.23
07/04/2018,10,10,3.00
07/04/2018,10,11,424.00
07/04/2018,10,12,142391.56
07/04/2018,10,13,8.88
07/04/2018,10,14,5476.60
07/04/2018,10,15,166234.96
07/04/2018,10,16,48.00
07/04/2018,10,17,202170.71
07/04/2018,10,18,0.11
07/04/2018,10,19,1.00
07/04/2018,10,20,1.00
07/04/2018,10,21,1.00
07/04/2018,10,22,2.00
07/04/2018,10,23,0.00
07/04/2018,10,24,7.00
07/04/2018,10,25,3.00
07/04/2018,10,26,0.00
07/04/2018,10,27,0.00
07/04/2018,10,28,1.00
07/04/2018,10,29,2.00
07/04/2018,10,30,0.00
07/04/2018,10,31,3.00
07/04/2018,10,32,1.00
07/04/2018,10,33,7.00
07/04/2018,10,34,4.00
07/04/2018,10,35,1.00
07/04/2018,10,36,1.00
07/04/2018,10,37,0.00
07/04/2018,10,38,0.00
07/04/2018,10,39,1.00
07/04/2018,10,40,0.00
07/04/2018,11,1,239658.13
07/04/2018,11,2,42.00
07/04/2018,11,3,5706.15
07/04/2018,11,4,76.00
07/04/2018,11,5,90.01
07/04/2018,11,6,59.91
07/04/2018,11,7,0.49
07/04/2018,11,8,28.00
07/04/2018,11,9,112763.31
07/04/2018,11,10,1.00
07/04/2018,11,11,642.00
07/04/2018,11,12,147776.68
07/04/2018,11,13,9.53
07/04/2018,11,14,4618.02
07/04/2018,11,15,356954.25
07/04/2018,11,16,18.00
07/04/2018,11,17,59358.01
07/04/2018,11,18,0.03
07/04/2018,11,19,0.00
